objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
1293,201,42,003,980600,1,420039806001,Block Group 1,G5030,S,982752,473795,+40.4518148,-080.0280506,19600.6831159,64,10688264,80995.80627227,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.9761334,10688263.843,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,10687956.9669189,19600.5730845229
1294,10,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,20906.8295034,9,12232021,80995.80627227,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.9344121,12232020.2959,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,11332077.9346924,21174.4733263494
1295,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.3320259,10,8739570,80995.80627227,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.6375352,8739570.2277,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,8743618.44927979,13811.9171691078
1296,7,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,12055.4261462,7,17550592,80995.80627227,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.8198899,17550591.7727,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,17549348.4745483,18197.7457409071
1297,8,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,8208.50481027,8,25220622,80995.80627227,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.6985333,25220621.1697,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,25224200.9645996,26390.5493144529
1298,31,42,003,250900,2,420032509002,Block Group 2,G5030,S,384629,0,+40.4641570,-080.0039415,13652.2147116,19,6958774,80995.80627227,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.555901,6958774.07065,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,6962440.08129883,12620.5490348126
1299,58,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,7703.4461902,27,7218352,80995.80627227,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.7363926,7218351.66088,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,7219560.54455566,14391.3142278212
1300,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,7283.45492128,28,7653279.5,80995.80627227,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.6918846,7653278.96663,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,7656110.6729126,21431.6262122799
1301,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,14534.3785992,29,10717292,80995.80627227,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.7931601,10717291.8959,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,12838152.0429688,29607.5260141581
1302,64,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,11102.6286855,30,6577919.5,80995.80627227,39,2121,East Allegheny,26,151.705,0.236,1,57,3,14425.9106235,6577919.63035,15,Stephanie Joy Everett,pgh.admin,2020-08-14T14:52:26,pgh.admin,2020-08-14T14:52:26,,6580347.74060059,14429.4638873088
