id,name,title,artist_name,art_type,park,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
812728309,1001,Oakwood Road Monument,n/a,,,,Oakwood,2,28,42003562800,5,28,6,1-19,40.42919154,-80.06622538
188255168,1002,Rooster Waiting For The Streetcar,James Simon,Modern and Contemporary Art,,,Elliott,2,20,42003562600,5,20,6,1-17,40.44292638,-80.03971116
2032091917,129,Middle East Memorial Plaque,n/a,War Memorials,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.438092,-79.996852
1447629273,143,L'Enfant,Paul Roger-Bloche,Historic Art,,,Carrick,4,29,42003290400,3,29,3,4-23,40.388748,-79.986497
1935017944,148,Veterans Memorial (Brookline),n/a,War Memorials,Brookline Monument,,Brookline,4,19,42003191800,5,19,6,4-26,40.391721,-80.016981
752311791,153,Oakley Street Mosaic Steps,Laura Jean McLaughlin,Modern and Contemporary Art,,,South Side Slopes,3,16,42003160800,3,16,3,4-24,40.42358,-79.968693
915929762,156,Windows of Light,Jane Haskell,Modern and Contemporary Art,,,,,,,,,,,,
275033545,157,Time Travelers,Edith Abeyta & Sandy Kessler Kaminski,Modern and Contemporary Art,,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.406833,-79.944514
687548560,159,Untitled (Ben Grubb),Ben Grubb,Modern and Contemporary Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.481455,-79.911319
1980433881,161,Caves,Randi Stewart,Modern and Contemporary Art,Frick Park,,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.429959,-79.914858
1139976437,163,Manimal Friends,Ramiro Davaro-Comas,Modern and Contemporary Art,Riverview Park,,Perry North,1,26,42003980400,1,26,1,1-15,40.480761,-80.01752
326997419,164,"Stars, Sun, and Planets with Spaceships!",Sandy Kessler Kaminski & Linda Wallen,Modern and Contemporary Art,Riverview Park,,Perry North,1,26,42003980400,1,26,1,1-15,40.481303,-80.017856
847794014,166,Home Court Advantage,Janel Young,Modern and Contemporary Art,McKinley Park,,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41397,-80.003484
797630304,167,Spring Hill Mosaic,Linda Wallen,Modern and Contemporary Art,,,Spring Hill-City View,1,24,42003262000,1,24,1,1-11,40.465522,-79.991446
1128072672,172,Grand Army of the Republic Memorial,Not Applicable,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.440568,-79.945069
1288339436,173,National Woman's Relief Corps Memorial: Annie Wittenmyer,Not Applicable,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.440714,-79.945583
1089115252,174,National Woman's Relief Corps Memorial: Flo Jamison Miller,Not Applicable,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.440855,-79.946056
1873659637,175,Police Department Zone 6 Mural,"Ed Wirkowski, Michael Kapeluck, & Robert Robinson",Modern and Contemporary Art,,,West End,2,20,42003562600,5,20,6,1-17,40.442081,-80.032174
582772387,176,Pittsburgh Marathon and Great Race Monument,n/a,Individual and Historic Monuments,,,Greenfield,5,15,42003151700,3,15,4,2-12,40.424313,-79.93622
822780311,177,Forbes Road Monument,Not Applicable,Individual and Historic Monuments,Frick Park,,Shadyside,8,7,42003070800,2,7,4,2-17,40.454184,-79.913295
1210448368,178,Eagles,n/a,Historic Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-15,40.484446,-79.907891
1198285716,180,Stephen Foster,Giuseppe Moretti,Individual and Historic Monuments,,,,,,,,,,,,
1536449874,181,Deutschtown City Steps Mosaic Mural,Linda Wallen,Modern and Contemporary Art,,,East Allegheny,1,23,42003563200,1,23,1,1-5,40.458197,-79.995558
1835854787,182,Cascade,Oreen Cohen & Alison Zapata,,,,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.4434181,-79.9270081
972265707,183,"Transform, Pollinate, & Illuminate",Oreen Cohen & Alison Zapata,,,,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44330679,-79.92709666
333276345,184,Broadway Avenue Public Realm Street Mural: Racing Snails,Will Schlough,,,,Beechview,4,19,42003192000,5,19,6,4-28,40.4037614,-80.03029613
